"index","singlePointScore","singlePointContribution"
1,0.00973730542946426,0.641875331528466
2,0.00916306583370627,0.633927069495935
3,0.0119243089968951,0.671410225205423
4,0.00801771419182582,0.61785780486726
5,0.0297375569003845,0.85594834571219
6,0.00751649984827385,0.610741475353347
7,0.00926898595635274,0.635398794265617
8,0.0092048155938996,0.634507468786541
9,0.00771127586888477,0.613512732384661
10,0.00783778765351574,0.615308812850336
11,0.00922296092801202,0.63475960100909
12,0.0092152559881821,0.634652548697506
13,0.0104670843895803,0.65186458192531
14,0.00831867112954585,0.622106892595179
15,0.00751472339330996,0.610716166844201
16,0.515296197042293,0.999999999999961
17,0.0479186200912707,0.946421870065322
18,0.838167446502806,1
19,0.0084636480542202,0.624147133073481
20,0.00826426518798776,0.621340123580941
21,0.0846238365979873,0.993763784681965
22,0.0079328802853492,0.616656774344825
23,0.0100528784011148,0.646210638596894
24,0.00809100571851405,0.618894267260793
25,0.00904702064024423,0.632311786293822
26,0.0077577862826282,0.614173399984615
27,0.0084622567857823,0.624127574734434
28,0.00728825328847613,0.60748488580336
29,0.0095001922629204,0.638602517296025
30,0.00825248944702675,0.621174082406109
31,0.0783777106813664,0.990958287186512
32,0.00868993427863099,0.627322818721557
33,0.014292400437641,0.701924554673139
34,0.008757536248832,0.628269427206472
35,0.0179523832303438,0.745699414214757
36,0.0102610514418239,0.649057445552401
37,0.00932638051947439,0.63619521821095
38,0.00837467662249102,0.622895567376409
39,0.00951456828878522,0.638801316394004
40,0.00911741397470806,0.633291978503678
41,0.00941816735629464,0.637467327984653
42,0.00733720969643612,0.608184205668382
43,0.0168121684532412,0.732526234741157
44,0.0100118138328827,0.645647838846762
45,0.00828969456009909,0.621698587658106
46,0.0069291892041549,0.602342504069519
47,0.00918033972345807,0.634167255949173
48,0.00936974233700346,0.636796425257797
49,0.00891459942178285,0.630464925314026
50,0.00906911144012218,0.632619507904605
51,0.00941816735629464,0.637467327984653
52,0.00691070613240657,0.60207717323916
53,0.00959932441411244,0.639972399611806
54,0.00826353725829971,0.621329860396957
55,0.00782258097343364,0.615093089536011
56,0.00845587782641884,0.624037894657969
57,0.00937813342070916,0.636912717460878
58,0.00843013238883896,0.623675860089866
59,0.00893111577637398,0.630695486596255
60,0.00805741552246354,0.618419380591985
61,0.0104755592043051,0.651979824777599
62,0.00850324233059915,0.624703576274327
63,0.0060845470850932,0.590158235241878
64,0.00799899095317721,0.617592855072704
65,0.00810067270142737,0.619030893673183
66,0.00917823977195914,0.634138060532321
67,0.00802006730110004,0.617891098417134
68,0.00568310910892088,0.584327319025455
69,0.0079263970140971,0.616564929059894
70,0.00822854893967595,0.620836427171581
71,0.00826230730351011,0.621312518842961
72,0.00833236789379017,0.622299831634106
73,0.00864309516792223,0.626666372469846
74,0.00979521706362988,0.64267268010807
75,0.00891334210192724,0.630447371223457
76,0.00785844581001401,0.615601798659677
77,0.03234454772619,0.874161227376965
78,0.00819231648063529,0.620325184504924
79,0.0075508674085972,0.611230979925673
80,0.00715960381885722,0.605645090829306
81,0.00802960136987668,0.618025982221541
82,0.00866224021968349,0.626934745324467
83,0.00790684449788974,0.616287887916735
84,0.00916477962858687,0.633950902098775
85,0.00883280113617018,0.629322179999708
86,0.00632709481825472,0.593669125250656
87,0.00839170299624489,0.623135205684229
88,0.00877712621437777,0.628543555671215
89,0.00971794846306813,0.641608642380517
90,0.00935984915988393,0.636659294959444
91,0.00795913230079465,0.617028588450748
92,0.0088615749858348,0.62972432471386
93,0.00896226541524274,0.631130159916555
94,0.00910924357806643,0.633178266171207
95,0.00843835237249772,0.623791465243762
96,0.0079927981776516,0.617505206622317
97,0.00884728834974603,0.629524676449373
98,0.00719071571130031,0.606090293662134
99,0.00922052602326034,0.634725771920414
100,0.0071076499465125,0.604901254153289
